Trial number,Fixation Onset NEV,Image Onset NEV,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Response value NEV,Reaction onset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,Noname,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,BlockNumber,noname,noname,noname,noname,TrialTypeDesignation
99.0,582.358,582.875,0.0,0.0,0.0,100.0,,,1.0,,,79.0,1.5,2.0,79.0,132.0157,1.0,359484.0563,133.0162,2.0,,,,,1.0
100.0,583.893,584.41,0.0,0.0,0.0,100.0,,,0.0,,,80.0,3.25,1.0,80.0,133.5505,0.0,359485.0913,134.0512,2.0,,,,,1.0
101.0,584.927,585.445,0.0,0.0,0.0,100.0,,,0.0,,,81.0,1.0,1.5,81.0,134.585,0.0,359486.3758,135.3358,2.0,,,,,1.0
102.0,586.212,586.729,0.0,0.0,0.0,100.0,,,1.0,,,82.0,2.75,3.0,82.0,135.8696,1.0,359488.4103,137.3703,2.0,,,,,1.0
103.0,588.247,588.764,0.0,0.0,0.0,100.0,,,1.0,,,83.0,2.75,2.25,83.0,137.9049,1.0,359490.0706,139.0306,2.0,,,,,1.0
104.0,589.899,590.416,0.0,0.0,0.0,100.0,,,0.0,,,84.0,2.5,1.75,84.0,139.5566,0.0,359491.472,140.432,2.0,,,,,1.0
105.0,591.3,591.818,0.0,0.0,0.0,100.0,,,1.0,,,85.0,3.0,1.5,85.0,140.9579,1.0,359492.7487,141.7087,2.0,,,,,1.0
106.0,592.585,593.102,0.0,0.0,0.0,100.0,,,1.0,,,86.0,3.0,1.5,86.0,142.2425,1.0,359494.0331,142.9931,2.0,,,,,1.0
107.0,593.87,594.387,0.0,0.0,0.0,100.0,,,0.0,,,87.0,2.0,2.75,87.0,143.5272,0.0,359495.9429,144.9029,2.0,,,,,1.0
108.0,595.771,596.289,0.0,0.0,0.0,100.0,,,1.0,,,88.0,3.25,1.0,88.0,145.429,1.0,359496.9695,145.9295,2.0,,,,,1.0
109.0,596.806,597.323,0.0,0.0,0.0,100.0,,,1.0,,,89.0,3.75,3.25,89.0,146.4635,1.0,359499.1292,148.0892,2.0,,,,,1.0
110.0,598.958,599.475,0.0,0.0,0.0,100.0,,,1.0,,,90.0,2.25,2.25,90.0,148.6157,1.0,359500.7814,149.7414,2.0,,,,,1.0
111.0,600.61,601.127,0.0,0.0,0.0,100.0,,,1.0,,,91.0,2.25,1.75,91.0,150.2672,1.0,359502.1827,151.1427,2.0,,,,,1.0
112.0,602.011,602.528,0.0,0.0,0.0,100.0,,,1.0,,,92.0,2.5,2.5,92.0,151.6686,1.0,359503.9593,152.9192,2.0,,,,,1.0
113.0,603.796,604.313,0.0,0.0,0.0,100.0,,,1.0,,,93.0,3.25,3.25,93.0,153.4537,1.0,359506.1192,155.0792,2.0,,,,,1.0
114.0,605.948,606.466,0.0,0.0,0.0,100.0,,,0.0,,,94.0,2.75,2.0,94.0,155.6059,0.0,359507.6464,156.6064,2.0,,,,,1.0
115.0,607.483,608.0,0.0,0.0,0.0,100.0,,,1.0,,,95.0,3.25,2.5,95.0,157.1407,1.0,359509.4314,158.3914,2.0,,,,,1.0
116.0,609.268,609.786,0.0,0.0,0.0,100.0,,,1.0,,,96.0,2.0,3.75,96.0,158.926,1.0,359511.8417,160.8017,2.0,,,,,1.0
117.0,611.671,612.188,0.0,0.0,0.0,100.0,,,0.0,,,97.0,3.5,2.5,97.0,161.3284,0.0,359513.6189,162.5789,2.0,,,,,1.0
118.0,613.456,613.973,0.0,0.0,0.0,100.0,,,0.0,,,98.0,2.75,2.75,98.0,163.1135,0.0,359515.5292,164.4892,2.0,,,,,1.0
119.0,615.358,615.875,0.0,0.0,0.0,100.0,,,1.0,,,99.0,1.5,1.75,99.0,165.0153,1.0,359516.9311,165.8911,2.0,,,,,1.0
120.0,616.759,617.277,0.0,0.0,0.0,100.0,,,1.0,,,100.0,2.25,1.5,100.0,166.4168,0.0,359518.2074,167.1673,2.0,,,,,1.0
121.0,713.44,713.457,0.0,0.0,0.0,100.0,,,1.0,,,1.0,0.8,0.8,1.0,0.0052564,0.0,256960.2729,0.806,3.0,,,,,2.0
122.0,714.258,714.274,0.0,0.0,0.0,100.0,,,1.0,,,2.0,0.8,0.8,2.0,0.81031,0.0,256961.0781,1.6112,3.0,,,,,2.0
123.0,715.075,715.091,0.0,0.0,0.0,100.0,,,1.0,,,3.0,0.8,0.8,3.0,1.616,0.0,256961.8838,2.4169,3.0,,,,,2.0
124.0,715.893,715.91,0.0,0.0,0.0,100.0,,,1.0,,,4.0,0.8,0.8,4.0,2.4216,1.0,256962.6893,3.2224,3.0,,,,,2.0
125.0,716.711,716.726,0.0,0.0,0.0,100.0,,,1.0,,,5.0,0.8,0.8,5.0,3.227,0.0,256963.4946,4.0277,3.0,,,,,2.0
126.0,717.527,717.544,0.0,0.0,0.0,100.0,,,1.0,,,6.0,0.8,0.8,6.0,4.0316,1.0,256964.2993,4.8324,3.0,,,,,2.0
127.0,718.345,718.361,0.0,0.0,0.0,100.0,,,1.0,,,7.0,0.8,0.8,7.0,4.8368,1.0,256965.1046,5.6377,3.0,,,,,2.0
128.0,719.162,719.179,0.0,0.0,0.0,100.0,,,1.0,,,8.0,0.8,0.8,8.0,5.6417,1.0,256965.9093,6.4424,3.0,,,,,2.0
129.0,719.979,719.996,0.0,0.0,0.0,100.0,,,1.0,,,9.0,0.8,0.8,9.0,6.4467,0.0,256966.7144,7.2475,3.0,,,,,2.0
130.0,720.797,720.814,0.0,0.0,0.0,100.0,,,1.0,,,10.0,0.8,0.8,10.0,7.2526,1.0,256967.5204,8.0535,3.0,,,,,2.0
131.0,721.615,721.631,0.0,0.0,0.0,100.0,,,1.0,,,11.0,0.8,0.8,11.0,8.0574,0.0,256968.325,8.8581,3.0,,,,,2.0
132.0,722.432,722.449,0.0,0.0,0.0,100.0,,,1.0,,,12.0,0.8,0.8,12.0,8.8621,1.0,256969.1298,9.6629,3.0,,,,,2.0
133.0,723.249,723.266,0.0,0.0,0.0,100.0,,,1.0,,,13.0,0.8,0.8,13.0,9.6684,0.0,256969.9361,10.4692,3.0,,,,,2.0
134.0,724.067,724.084,0.0,0.0,0.0,100.0,,,1.0,,,14.0,0.8,0.8,14.0,10.4741,0.0,256970.7416,11.2747,3.0,,,,,2.0
135.0,724.884,724.902,0.0,0.0,0.0,100.0,,,1.0,,,15.0,0.8,0.8,15.0,11.2788,0.0,256971.5466,12.0796,3.0,,,,,2.0
136.0,725.702,725.718,0.0,0.0,0.0,100.0,,,1.0,,,16.0,0.8,0.8,16.0,12.0841,0.0,256972.3524,12.8855,3.0,,,,,2.0
137.0,726.519,726.536,0.0,0.0,0.0,100.0,,,1.0,,,17.0,0.8,0.8,17.0,12.8897,0.0,256973.1574,13.6905,3.0,,,,,2.0
138.0,727.337,727.354,0.0,0.0,0.0,100.0,,,1.0,,,18.0,0.8,0.8,18.0,13.695,0.0,256973.9627,14.4958,3.0,,,,,2.0
139.0,728.155,728.171,0.0,0.0,0.0,100.0,,,1.0,,,19.0,0.8,0.8,19.0,14.5003,1.0,256974.768,15.3011,3.0,,,,,2.0
140.0,728.972,728.989,0.0,0.0,0.0,100.0,,,1.0,,,20.0,0.8,0.8,20.0,15.3056,0.0,256975.5734,16.1065,3.0,,,,,2.0
141.0,729.789,729.806,0.0,0.0,0.0,100.0,,,1.0,,,21.0,0.8,0.8,21.0,16.1113,0.0,256976.3792,16.9123,3.0,,,,,2.0
142.0,730.607,730.623,0.0,0.0,0.0,100.0,,,1.0,,,22.0,0.8,0.8,22.0,16.9168,1.0,256977.1843,17.7174,3.0,,,,,2.0
143.0,731.424,731.441,0.0,0.0,0.0,100.0,,,1.0,,,23.0,0.8,0.8,23.0,17.7213,0.0,256977.9889,18.522,3.0,,,,,2.0
144.0,732.242,732.258,0.0,0.0,0.0,100.0,,,1.0,,,24.0,0.8,0.8,24.0,18.5259,1.0,256978.7937,19.3268,3.0,,,,,2.0
145.0,733.059,733.076,0.0,0.0,0.0,100.0,,,1.0,,,25.0,0.8,0.8,25.0,19.3315,0.0,256979.5993,20.1324,3.0,,,,,2.0
146.0,733.877,733.893,0.0,0.0,0.0,100.0,,,1.0,,,26.0,0.8,0.8,26.0,20.1368,1.0,256980.4044,20.9375,3.0,,,,,2.0
147.0,734.694,734.711,0.0,0.0,0.0,100.0,,,1.0,,,27.0,0.8,0.8,27.0,20.9414,1.0,256981.2092,21.7423,3.0,,,,,2.0
148.0,735.511,735.529,0.0,0.0,0.0,100.0,,,1.0,,,28.0,0.8,0.8,28.0,21.7487,1.0,256982.0164,22.5495,3.0,,,,,2.0
149.0,736.329,736.346,0.0,0.0,0.0,100.0,,,1.0,,,29.0,0.8,0.8,29.0,22.5541,0.0,256982.8219,23.355,3.0,,,,,2.0
150.0,737.147,737.163,0.0,0.0,0.0,100.0,,,1.0,,,30.0,0.8,0.8,30.0,23.3595,0.0,256983.6272,24.1603,3.0,,,,,2.0
151.0,737.964,737.981,0.0,0.0,0.0,100.0,,,1.0,,,31.0,0.8,0.8,31.0,24.1645,1.0,256984.4323,24.9654,3.0,,,,,2.0
