Trial number,Fixation Onset NEV,Image Onset NEV,NoName,Stim on/off NEV,Stim onset NEV,Stim offset NEV,Congruent Value NEV,Valence Value NEV,Reaction time NEV,NoName1,NoName2,TrialNum,Delay1,Delay2,TrialComplete,TimeImageOnset,ColorLev,TimeRec,TimeTrial,StartTrial,CrossStart,ResponseTime,BlockNumber,TrialTypeDesignation
301.0,1233.837,1233.854,1233.837,1.0,1233.837,1233.854,,1.0,,1233.837,1233.854,12.0,3.0,1.75,12.0,9.0096,1.0,182170.4143,9.8102,,,,5.0,2.0
302.0,1234.655,1234.672,1234.655,1.0,1234.655,1234.672,,1.0,,1234.655,1234.672,13.0,3.75,1.0,13.0,9.8269,0.0,182171.2322,10.6281,,,,5.0,2.0
303.0,1235.472,1235.489,1235.472,1.0,1235.472,1235.489,,1.0,,1235.472,1235.489,14.0,2.25,2.0,14.0,10.6445,0.0,182172.0493,11.4452,,,,5.0,2.0
304.0,1236.29,1236.307,1236.29,1.0,1236.29,1236.307,,1.0,,1236.29,1236.307,15.0,3.25,3.25,15.0,11.462,0.0,182172.8673,12.2633,,,,5.0,2.0
305.0,1237.107,1237.124,1237.107,1.0,1237.107,1237.124,,1.0,,1237.107,1237.124,16.0,1.5,2.25,16.0,12.2794,0.0,182173.6847,13.0807,,,,5.0,2.0
306.0,1237.925,1237.942,1237.925,1.0,1237.925,1237.942,,1.0,,1237.925,1237.942,17.0,2.25,2.75,17.0,13.0968,0.0,182174.502,13.898,,,,5.0,2.0
307.0,1238.742,1238.759,1238.742,1.0,1238.742,1238.759,,1.0,,1238.742,1238.759,18.0,3.0,3.25,18.0,13.9144,0.0,182175.3194,14.7153,,,,5.0,2.0
308.0,1239.56,1239.577,1239.56,1.0,1239.56,1239.577,,1.0,,1239.56,1239.577,19.0,1.75,3.0,19.0,14.7319,1.0,182176.1367,15.5327,,,,5.0,2.0
309.0,1240.377,1240.394,1240.377,1.0,1240.377,1240.394,,1.0,,1240.377,1240.394,20.0,2.75,1.25,20.0,15.5494,0.0,182176.9548,16.3508,,,,5.0,2.0
310.0,1241.195,1241.211,1241.195,1.0,1241.195,1241.211,,1.0,,1241.195,1241.211,21.0,1.25,2.25,21.0,16.3668,0.0,182177.7723,17.1684,,,,5.0,2.0
